CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0120,0.783,C0118,0.7828,C0096,0.712
C0002,C0159,0.9332,C0134,0.9192,C0106,0.919
C0003,C0031,0.8339,C0129,0.7994,C0052,0.7682
C0004,C0113,0.9383,C0104,0.8277,C0012,0.7758
C0005,C0007,0.9241,C0140,0.9029,C0186,0.8373
C0006,C0187,0.8904,C0137,0.743,C0085,0.7118
C0007,C0005,0.9241,C0140,0.8304,C0186,0.7862
C0008,C0059,0.8013,C0098,0.7953,C0194,0.7817
C0009,C0061,0.8633,C0198,0.8487,C0167,0.7903
C0010,C0061,0.7656,C0062,0.7306,C0132,0.7158
C0011,C0126,0.8563,C0174,0.8428,C0171,0.8376
C0012,C0004,0.7758,C0163,0.77,C0065,0.7532
C0013,C0099,0.766,C0087,0.7532,C0102,0.746
C0014,C0110,0.8187,C0097,0.8141,C0073,0.7932
C0015,C0185,0.8641,C0058,0.7822,C0036,0.7732
C0016,C0183,0.9102,C0050,0.8065,C0067,0.78
C0017,C0075,0.9425,C0041,0.9278,C0057,0.8243
C0018,C0117,0.7822,C0055,0.7601,C0194,0.7552
C0019,C0070,0.8408,C0064,0.7879,C0023,0.6868
C0020,C0058,0.9477,C0144,0.8387,C0110,0.7795
